"","GEOID","X","Y"
"365",365,-43.5299465219158,-23.012252305485
"366",366,-43.5250687732126,-23.0122069319638
"367",367,-43.5201910368873,-23.0121614082569
"368",368,-43.5153133129806,-23.0121157343659
"369",369,-43.5104356015335,-23.0120699102923
"370",370,-43.5055579025868,-23.0120239360377
"371",371,-43.5006802161814,-23.0119778116036
"372",372,-43.4958025423583,-23.0119315369915
"373",373,-43.4909248811582,-23.0118851122032
"374",374,-43.4860472326221,-23.0118385372401
"375",375,-43.4811695967908,-23.0117918121038
"376",376,-43.4762919737052,-23.0117449367959
"377",377,-43.4714143634063,-23.011697911318
"378",378,-43.4665367659348,-23.0116507356718
"379",379,-43.4616591813316,-23.0116034098587
"380",380,-43.4567816096377,-23.0115559338805
"381",381,-43.4519040508939,-23.0115083077387
"382",382,-43.4470265051411,-23.0114605314349
"383",383,-43.4421489724201,-23.0114126049709
"384",384,-43.4372714527719,-23.0113645283481
"385",385,-43.4323939462372,-23.0113163015683
"386",386,-43.4275164528571,-23.0112679246331
"387",387,-43.4226389726723,-23.011219397544
"388",388,-43.4177615057236,-23.0111707203029
"389",389,-43.4128840520521,-23.0111218929113
"390",390,-43.4080066116986,-23.0110729153709
"391",391,-43.4031291847038,-23.0110237876833
"392",392,-43.3982517711088,-23.0109745098503
"393",393,-43.3933743709543,-23.0109250818734
"394",394,-43.3884969842812,-23.0108755037544
"395",395,-43.3836196111305,-23.010825775495
"396",396,-43.3787422515429,-23.0107758970969
"397",397,-43.3738649055593,-23.0107258685617
"398",398,-43.3689875732207,-23.0106756898911
"399",399,-43.3641102545677,-23.0106253610869
"400",400,-43.3592329496415,-23.0105748821508
"401",401,-43.3543556584826,-23.0105242530845
"402",402,-43.3494783811322,-23.0104734738896
"403",403,-43.3446011176309,-23.010422544568
"404",404,-43.3397238680197,-23.0103714651213
"405",405,-43.3348466323395,-23.0103202355514
"406",406,-43.329969410631,-23.0102688558599
"407",407,-43.3250922029352,-23.0102173260485
"408",408,-43.3202150092928,-23.0101656461191
"409",409,-43.3153378297449,-23.0101138160734
"410",410,-43.3104606643321,-23.0100618359132
"411",411,-43.3055835130954,-23.0100097056401
"412",412,-43.3007063760757,-23.0099574252561
"413",413,-43.2958292533137,-23.0099049947628
"414",414,-43.2909521448504,-23.0098524141621
"415",415,-43.6202268307859,-23.0091541717819
"416",416,-43.6153490009759,-23.0091115850199
"417",417,-43.6104711827857,-23.0090688480729
"418",418,-43.6055933762562,-23.0090259609423
"419",419,-43.6007155814284,-23.0089829236296
"420",420,-43.595837798343,-23.0089397361362
"421",421,-43.5909600270411,-23.0088963984637
"422",422,-43.5860822675634,-23.0088529106135
"423",423,-43.5812045199509,-23.008809272587
"424",424,-43.5763267842445,-23.0087654843858
"425",425,-43.571449060485,-23.0087215460114
"426",426,-43.5665713487133,-23.0086774574651
"427",427,-43.5616936489703,-23.0086332187486
"428",428,-43.5568159612969,-23.0085888298634
"429",429,-43.551938285734,-23.0085442908109
"430",430,-43.5470606223225,-23.0084996015927
"431",431,-43.5421829711032,-23.0084547622102
"432",432,-43.537305332117,-23.0084097726651
"433",433,-43.5324277054048,-23.0083646329588
"434",434,-43.5275500910075,-23.0083193430928
"435",435,-43.5226724889659,-23.0082739030688
"436",436,-43.517794899321,-23.0082283128882
"437",437,-43.5129173221136,-23.0081825725527
"438",438,-43.5080397573846,-23.0081366820637
"439",439,-43.5031622051748,-23.0080906414228
"440",440,-43.4982846655252,-23.0080444506316
"441",441,-43.4934071384766,-23.0079981096917
"442",442,-43.48852962407,-23.0079516186046
"443",443,-43.4836521223461,-23.0079049773719
"444",444,-43.4787746333458,-23.0078581859952
"445",445,-43.4738971571101,-23.0078112444761
"446",446,-43.4690196936797,-23.0077641528162
"447",447,-43.4641422430957,-23.007716911017
"448",448,-43.4592648053987,-23.0076695190803
"449",449,-43.4543873806298,-23.0076219770076
"450",450,-43.4495099688297,-23.0075742848004
"451",451,-43.4446325700394,-23.0075264424606
"452",452,-43.4397551842997,-23.0074784499896
"453",453,-43.4348778116515,-23.007430307389
"454",454,-43.4300004521357,-23.0073820146606
"455",455,-43.425123105793,-23.007333571806
"456",456,-43.4202457726645,-23.0072849788268
"457",457,-43.4153684527909,-23.0072362357247
"458",458,-43.4104911462131,-23.0071873425014
"459",459,-43.4056138529719,-23.0071382991584
"460",460,-43.4007365731084,-23.0070891056974
"461",461,-43.3958593066632,-23.0070397621202
"462",462,-43.3909820536773,-23.0069902684284
"463",463,-43.3861048141915,-23.0069406246237
"464",464,-43.3812275882468,-23.0068908307078
"465",465,-43.3763503758839,-23.0068408866824
"466",466,-43.3714731771436,-23.0067907925491
"467",467,-43.366595992067,-23.0067405483097
"468",468,-43.3617188206948,-23.0066901539659
"469",469,-43.3568416630679,-23.0066396095193
"470",470,-43.3519645192271,-23.0065889149718
"471",471,-43.3470873892133,-23.006538070325
"472",472,-43.3422102730674,-23.0064870755807
"473",473,-43.3373331708302,-23.0064359307405
"474",474,-43.3324560825426,-23.0063846358063
"475",475,-43.3275790082454,-23.0063331907798
"476",476,-43.3227019479794,-23.0062815956627
"477",477,-43.3178249017856,-23.0062298504568
"478",478,-43.3129478697047,-23.0061779551638
"479",479,-43.3080708517777,-23.0061259097855
"480",480,-43.3031938480454,-23.0060737143237
"481",481,-43.2983168585486,-23.0060213687801
"482",482,-43.2934398833281,-23.0059688731566
"483",483,-43.2885629224249,-23.0059162274548
"484",484,-43.2836859758798,-23.0058634316767
"485",485,-43.6373386012882,-23.005391560547
"486",486,-43.6324608716123,-23.0053495073951
"487",487,-43.6275831534116,-23.0053073040814
"488",488,-43.6227054467271,-23.0052649506075
"489",489,-43.6178277515996,-23.0052224469748
"490",490,-43.61295006807,-23.0051797931848
"491",491,-43.6080723961792,-23.0051369892388
"492",492,-43.6031947359681,-23.0050940351384
"493",493,-43.5983170874775,-23.0050509308849
"494",494,-43.5934394507483,-23.00500767648
"495",495,-43.5885618258215,-23.004964271925
"496",496,-43.5836842127379,-23.0049207172214
"497",497,-43.5788066115384,-23.0048770123707
"498",498,-43.5739290222638,-23.0048331573743
"499",499,-43.5690514449551,-23.0047891522339
"500",500,-43.5641738796531,-23.0047449969508
"501",501,-43.5592963263987,-23.0047006915266
"502",502,-43.5544187852328,-23.0046562359628
"503",503,-43.5495412561962,-23.0046116302608
"504",504,-43.5446637393299,-23.0045668744223
"505",505,-43.5397862346747,-23.0045219684487
"506",506,-43.5349087422715,-23.0044769123415
"507",507,-43.5300312621611,-23.0044317061023
"508",508,-43.5251537943845,-23.0043863497327
"509",509,-43.5202763389825,-23.0043408432341
"510",510,-43.515398895996,-23.0042951866081
"511",511,-43.5105214654658,-23.0042493798562
"512",512,-43.5056440474328,-23.0042034229801
"513",513,-43.500766641938,-23.0041573159813
"514",514,-43.4958892490221,-23.0041110588613
"515",515,-43.4910118687261,-23.0040646516218
"516",516,-43.4861345010908,-23.0040180942642
"517",517,-43.481257146157,-23.0039713867902
"518",518,-43.4763798039657,-23.0039245292014
"519",519,-43.4715024745577,-23.0038775214994
"520",520,-43.4666251579739,-23.0038303636857
"521",521,-43.4617478542552,-23.003783055762
"522",522,-43.4568705634423,-23.0037355977298
"523",523,-43.4519932855763,-23.0036879895908
"524",524,-43.4471160206979,-23.0036402313467
"525",525,-43.442238768848,-23.0035923229989
"526",526,-43.4373615300674,-23.0035442645492
"527",527,-43.4324843043971,-23.0034960559992
"528",528,-43.4276070918779,-23.0034476973505
"529",529,-43.4227298925507,-23.0033991886048
